Golfer ,OWGR,Winner,Top 5,Top 10
Scottie Scheffler  ,11.79,600,140,50
Rory McIlroy  ,10.74,900,200,95
Jon Rahm  ,10.27,900,200,95
Patrick Cantlay  ,6.86,1600,330,150
Viktor Hovland  ,6.33,2000,400,190
Xander Schauffele  ,6.17,1800,360,170
Max Homa  ,5.22,3500,650,280
Brian Harman  ,4.92,4000,800,330
Matthew Fitzpatrick  ,4.85,3500,750,320
Wyndham Clark  ,4.63,2800,550,250
Jordan Spieth  ,4.43,3500,700,300
Tyrrell Hatton  ,4.35,2200,450,200
Keegan Bradley  ,4.18,6500,1200,500
Cameron Young  ,4.17,4000,800,330
Tony Finau  ,4.09,3500,650,280
Tom Kim  ,4.04,3500,700,300
Jason Day  ,3.93,3000,600,260
Sam Burns  ,3.91,3500,650,300
Collin Morikawa  ,3.86,2200,450,210
Tommy Fleetwood  ,3.86,2800,550,240
Sepp Straka  ,3.68,6000,1100,450
Rickie Fowler  ,3.65,2800,550,260
Sungjae Im  ,3.44,5000,900,400
Kurt Kitayama  ,3.23,15000,2800,1000
Russell Henley  ,3.12,4000,800,330
Corey Conners  ,2.77,5500,1000,400
Hideki Matsuyama  ,2.74,4000,850,350
Denny McCarthy  ,2.73,8000,1400,600
Justin Rose  ,2.73,6000,1200,450
Emiliano Grillo  ,2.7,7000,1200,500
Sahith Theegala  ,2.67,10000,1800,750
Si Woo Kim  ,2.54,6500,1200,500
Harris English  ,2.43,8000,1400,550
J.T. Poston  ,2.37,7000,1200,500
Tom Hoge  ,2.24,18000,3000,1100
Chris Kirk  ,2.2,13000,2200,850
Nick Taylor  ,2.12,20000,3500,1200
Adam Schenk  ,2.09,15000,2500,1000
Cameron Davis  ,2,7500,1400,550
Taylor Moore  ,1.98,13000,2200,800
Lucas Glover  ,1.89,8000,1400,550
Seamus Power  ,1.87,13000,2500,900
Lee Hodges  ,1.86,10000,1800,700
Brendon Todd  ,1.81,10000,1800,700
Byeong-Hun An  ,1.81,4500,900,400
Keith Mitchell  ,1.76,9000,1600,650
Adam Hadwin  ,1.75,15000,2500,1000
Adam Svensson  ,1.72,13000,2200,850
Andrew Putnam  ,1.71,11000,2000,750
Matt Kuchar  ,1.7,18000,3000,1100
Alex Smalley  ,1.58,11000,2000,800
Taylor Montgomery  ,1.53,30000,5000,1800
Eric Cole  ,1.51,11000,2000,800
Patrick Rodgers  ,1.43,15000,2800,1000
Thomas Detry  ,1.43,11000,2000,800
Mackenzie Hughes  ,1.41,30000,5000,1800
J.J. Spaun  ,1.37,13000,2200,900
Brandon Wu  ,1.32,30000,5000,1600
Mark Hubbard  ,1.32,20000,3500,1200
Davis Riley  ,1.31,20000,3500,1200
Hayden Buckley  ,1.3,30000,4500,1600
Aaron Rai  ,1.27,10000,1800,650
Stephan Jaeger  ,1.26,8000,1400,550
Beau Hossler  ,1.11,15000,2500,900
Sam Ryder  ,1.11,30000,4500,1600
Ben Griffin  ,1.09,25000,4000,1400
Sam Stevens  ,1.09,30000,4500,1600
Matthew NeSmith  ,1.08,35000,5500,1800
Nick Hardy  ,0.94,20000,3500,1200
Vincent Norrman  ,0.83,18000,3500,1200
