Golfer ,OWGR,DK,Avg,DKV,DKVA
Scottie Scheffler  ,11.66,11600,1.439920556,16703,3544
Rory McIlroy  ,11.04,12100,1.501986097,18174,4044
Jon Rahm  ,9.93,11200,1.390268123,15571,3144
Patrick Cantlay  ,7.57,10500,1.303376365,13685,2444
Viktor Hovland  ,6.35,10300,1.278550149,13169,2244
Xander Schauffele  ,6.13,10100,1.253723932,12663,2044
Max Homa  ,5.32,9500,1.179245283,11203,1444
Brian Harman  ,4.92,8100,1.005461768,8144,44
Matthew Fitzpatrick  ,4.78,8000,0.993048659,7944,-56
Wyndham Clark  ,4.61,8800,1.092353525,9613,744
Jordan Spieth  ,4.54,10000,1.241310824,12413,1944
Tyrrell Hatton  ,4.32,9000,1.117179742,10055,944
Tommy Fleetwood  ,4.18,9700,1.2040715,11679,1644
Keegan Bradley  ,4.08,7100,0.881330685,6257,-956
Cameron Young  ,4.07,8500,1.055114201,8968,444
Tom Kim  ,4.04,8700,1.079940417,9395,644
Tony Finau  ,3.99,8300,1.030287984,8551,244
Collin Morikawa  ,3.91,9800,1.216484608,11922,1744
Sam Burns  ,3.85,8400,1.042701092,8759,344
Jason Day  ,3.83,8600,1.067527309,9181,544
Sepp Straka  ,3.66,7300,0.906156902,6615,-756
Rickie Fowler  ,3.56,9200,1.142005958,10506,1144
Sungjae Im  ,3.43,9300,1.154419067,10736,1244
Kurt Kitayama  ,3.21,5600,0.695134062,3893,-2456
Russell Henley  ,3.2,8200,1.017874876,8347,144
Lucas Glover  ,2.96,9100,1.12959285,10279,1044
Corey Conners  ,2.89,8900,1.104766634,9832,844
Hideki Matsuyama  ,2.77,9400,1.166832175,10968,1344
Justin Rose  ,2.77,7900,0.980635551,7747,-156
Emiliano Grillo  ,2.74,7400,0.91857001,6797,-656
Sahith Theegala  ,2.73,7000,0.868917577,6082,-1056
Denny McCarthy  ,2.72,6700,0.831678252,5572,-1356
Si Woo Kim  ,2.6,7600,0.943396226,7170,-456
Harris English  ,2.42,6400,0.794438928,5084,-1656
J.T. Poston  ,2.4,7700,0.955809335,7360,-356
Chris Kirk  ,2.25,6000,0.744786495,4469,-2056
Adam Schenk  ,2.24,6500,0.806852036,5245,-1556
Tom Hoge  ,2.23,5700,0.70754717,4033,-2356
Taylor Moore  ,2.21,7200,0.893743793,6435,-856
Nick Taylor  ,2.15,5900,0.732373386,4321,-2156
Cameron Davis  ,2.14,7800,0.968222443,7552,-256
Lee Hodges  ,1.89,6100,0.757199603,4619,-1956
Seamus Power  ,1.84,5800,0.719960278,4176,-2256
Byeong-Hun An  ,1.83,7500,0.930983118,6982,-556
Adam Hadwin  ,1.81,6900,0.856504469,5910,-1156
Brendon Todd  ,1.78,6600,0.819265144,5407,-1456
Andrew Putnam  ,1.75,6800,0.84409136,5740,-1256
Adam Svensson  ,1.73,6200,0.769612711,4772,-1856
Eric Cole  ,1.54,6300,0.782025819,4927,-1756
Patrick Rodgers  ,1.43,5500,0.682720953,3755,-2556
Average Total,0,0,8056,0,-10000
